"Time (s) Run #1";"Position (m) Run #1";"Velocity (m/s) Run #1";"Acceleration (m/s²) Run #1"
22,050;0,21;0,24;3,32
22,100;0,22;0,40;3,16
22,150;0,25;0,56;2,86
22,200;0,28;0,70;2,39
22,250;0,32;0,80;1,79
22,300;0,36;0,87;1,20
22,350;0,41;0,92;0,62
22,400;0,45;0,94;0,02
22,450;0,50;0,93;-0,61
22,500;0,55;0,88;-1,23
22,550;0,59;0,80;-1,77
22,600;0,63;0,70;-2,23
22,650;0,66;0,57;-2,59
22,700;0,69;0,43;-2,87
22,750;0,70;0,28;-3,06
22,800;0,71;0,12;-3,16
22,850;0,72;-0,04;-3,18
22,900;0,71;-0,20;-3,12
22,950;0,70;-0,35;-2,98
23,000;0,68;-0,50;-2,75
23,050;0,65;-0,63;-2,43
23,100;0,61;-0,74;-2,03
23,150;0,57;-0,83;-1,51
23,200;0,53;-0,90;-0,90
23,250;0,48;-0,92;-0,29
23,300;0,43;-0,92;0,28
23,350;0,39;-0,90;0,83
23,400;0,34;-0,84;1,43
23,450;0,30;-0,76;2,02
23,500;0,27;-0,63;2,52
23,550;0,24;-0,50;2,91
23,600;0,22;-0,34;3,20
23,650;0,20;-0,17;3,40
23,700;0,20;0,00;3,44
23,750;0,20;0,18;3,37
23,800;0,22;0,34;3,22
23,850;0,24;0,50;2,97
23,900;0,27;0,64;2,57
23,950;0,30;0,76;2,00
24,000;0,34;0,84;1,39
24,050;0,39;0,90;0,82
24,100;0,43;0,93;0,27
24,150;0,48;0,93;-0,34
24,200;0,53;0,89;-0,98
24,250;0,57;0,83;-1,56
24,300;0,61;0,73;-2,05
24,350;0,65;0,62;-2,44
24,400;0,68;0,49;-2,75
24,450;0,70;0,34;-2,97
24,500;0,71;0,19;-3,11
24,550;0,72;0,03;-3,16
24,600;0,71;-0,13;-3,14
24,650;0,70;-0,29;-3,03
24,700;0,68;-0,44;-2,84
24,750;0,66;-0,58;-2,56
24,800;0,63;-0,70;-2,19
24,850;0,59;-0,80;-1,73
24,900;0,55;-0,87;-1,18
24,950;0,50;-0,92;-0,56
25,000;0,45;-0,93;0,08
25,050;0,41;-0,91;0,67
25,100;0,36;-0,86;1,21
25,150;0,32;-0,79;1,76
25,200;0,28;-0,69;2,33
25,250;0,25;-0,55;2,83
